Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_7_Validate SOAP API,,,,2021-11-11 15:55:02,2021-11-11 15:55:10,7.632s,PASSED
,,,,,,,
Test Cases/TC_12_Validate SOAP API,,API Data Driven Testing,,2021-11-11 15:55:03,2021-11-11 15:55:10,7.470s,PASSED
"res_Cel_To_Faren = sendRequest(findTestObject(""OR_9_SOAP API/Celsius to Farenheit Conversion""))",,,,2021-11-11 15:55:03,2021-11-11 15:55:05,2.482s,PASSED
"verifyResponseStatusCode(res_Cel_To_Faren, 200)",,,,2021-11-11 15:55:05,2021-11-11 15:55:05,0.010s,PASSED
"verifyElementText(res_Cel_To_Faren, ""CelsiusToFahrenheitResponse.CelsiusToFahrenheitResult"", CelsiusOutput)",,,,2021-11-11 15:55:05,2021-11-11 15:55:06,0.163s,PASSED
"res_Faren_To_Cel = sendRequest(findTestObject(""OR_9_SOAP API/Farenheit to Celsius Conversion""))",,,,2021-11-11 15:55:06,2021-11-11 15:55:07,1.247s,PASSED
"verifyResponseStatusCode(res_Faren_To_Cel, 200)",,,,2021-11-11 15:55:07,2021-11-11 15:55:07,0.002s,PASSED
"verifyElementText(res_Faren_To_Cel, ""FahrenheitToCelsiusResponse.FahrenheitToCelsiusResult"", FarenheitOutput)",,,,2021-11-11 15:55:07,2021-11-11 15:55:07,0.020s,PASSED
"res_ISBN_Number = sendRequest(findTestObject(""OR_9_SOAP API/Is Valid ISBN13 Number""))",,,,2021-11-11 15:55:07,2021-11-11 15:55:08,0.795s,PASSED
"verifyResponseStatusCode(res_ISBN_Number, 200)",,,,2021-11-11 15:55:08,2021-11-11 15:55:08,0.003s,PASSED
"verifyElementText(res_ISBN_Number, ""IsValidISBN13Response.IsValidISBN13Result"", ISBNNumberOutput)",,,,2021-11-11 15:55:08,2021-11-11 15:55:08,0.017s,PASSED
"res_Num_To_Dollar = sendRequest(findTestObject(""OR_9_SOAP API/Number to Dollars Conversion""))",,,,2021-11-11 15:55:08,2021-11-11 15:55:09,1.154s,PASSED
"verifyResponseStatusCode(res_Num_To_Dollar, 200)",,,,2021-11-11 15:55:09,2021-11-11 15:55:09,0.001s,PASSED
"verifyElementText(res_Num_To_Dollar, ""NumberToDollarsResponse.NumberToDollarsResult"", NumberForDollarOutput)",,,,2021-11-11 15:55:09,2021-11-11 15:55:09,0.018s,PASSED
"res_Number_To_Word = sendRequest(findTestObject(""OR_9_SOAP API/Number to Words Conversion""))",,,,2021-11-11 15:55:09,2021-11-11 15:55:10,1.166s,PASSED
"verifyResponseStatusCode(res_Number_To_Word, 200)",,,,2021-11-11 15:55:10,2021-11-11 15:55:10,0.006s,PASSED
"verifyElementText(res_Number_To_Word, ""NumberToWordsResponse.NumberToWordsResult"", NumberForWordOutput)",,,,2021-11-11 15:55:10,2021-11-11 15:55:10,0.030s,PASSED
