Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_8_Handle Alert Popup Boxes,Chrome 95.0.4638.69,,,2021-11-12 00:27:00,2021-11-12 00:28:04,1m - 3.923s,PASSED
,,,,,,,
Test Cases/TC_13_Handle Alert Popup - Alert Box,Chrome 95.0.4638.69,,,2021-11-12 00:27:01,2021-11-12 00:27:20,18.716s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-12 00:27:02,2021-11-12 00:27:07,5.238s,PASSED
"navigateToUrl(""https://www.w3schools.com/js/tryit.asp?filename=tryjs_alert"")",Chrome 95.0.4638.69,,,2021-11-12 00:27:07,2021-11-12 00:27:10,2.456s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-12 00:27:10,2021-11-12 00:27:10,0.259s,PASSED
"click(findTestObject(""Object Repository/OR_10_Handle Alert Popup - Alert Box/Page_Tryit Editor v3.7/button_Try it""))",Chrome 95.0.4638.69,,,2021-11-12 00:27:10,2021-11-12 00:27:11,1.423s,PASSED
waitForAlert(5),Chrome 95.0.4638.69,,,2021-11-12 00:27:11,2021-11-12 00:27:12,0.110s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-12 00:27:12,2021-11-12 00:27:14,2.156s,PASSED
verifyAlertPresent(0),Chrome 95.0.4638.69,,,2021-11-12 00:27:14,2021-11-12 00:27:14,0.069s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-12 00:27:14,2021-11-12 00:27:16,2.008s,PASSED
acceptAlert(),Chrome 95.0.4638.69,,,2021-11-12 00:27:16,2021-11-12 00:27:16,0.071s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-12 00:27:16,2021-11-12 00:27:18,2.021s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-11-12 00:27:18,2021-11-12 00:27:20,1.700s,PASSED
,,,,,,,
Test Cases/TC_14_Handle Alert Popup - Confirm Box,Chrome 95.0.4638.69,,,2021-11-12 00:27:20,2021-11-12 00:27:42,22.811s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-12 00:27:20,2021-11-12 00:27:22,1.908s,PASSED
"navigateToUrl(""https://www.w3schools.com/js/tryit.asp?filename=tryjs_confirm"")",Chrome 95.0.4638.69,,,2021-11-12 00:27:22,2021-11-12 00:27:25,2.712s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-12 00:27:25,2021-11-12 00:27:25,0.163s,PASSED
"click(findTestObject(""Object Repository/OR_11_Handle Alert Popup - Confirm Box/Page_Tryit Editor v3.7/button_Try it""))",Chrome 95.0.4638.69,,,2021-11-12 00:27:25,2021-11-12 00:27:27,1.543s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-12 00:27:27,2021-11-12 00:27:29,2.018s,PASSED
verifyAlertPresent(0),Chrome 95.0.4638.69,,,2021-11-12 00:27:29,2021-11-12 00:27:29,0.012s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-12 00:27:29,2021-11-12 00:27:31,2.013s,PASSED
acceptAlert(),Chrome 95.0.4638.69,,,2021-11-12 00:27:31,2021-11-12 00:27:31,0.034s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-12 00:27:31,2021-11-12 00:27:33,2.012s,PASSED
switchToDefaultContent(),Chrome 95.0.4638.69,,,2021-11-12 00:27:33,2021-11-12 00:27:34,1.687s,PASSED
